key	display_name	tier	default_collection	storage_hint	bios_posture	notes
nes	NES	Excellent	Nintendo	microsd	Usually not required	RetroArch core through EmuDeck.
snes	SNES	Excellent	Nintendo	microsd	Usually not required	RetroArch core through EmuDeck.
gb	GB/GBC	Excellent	Handhelds	microsd	Usually not required	Use consistent region naming before scraping.
gba	GBA	Excellent	Handhelds	microsd	Optional for boot/accuracy	mGBA or RetroArch.
genesis	Genesis/Mega Drive	Excellent	Sega	microsd	Usually not required	RetroArch core through EmuDeck.
saturn	Saturn	Mixed	Sega	internal	Often expected	Test per game before adding to favorites.
dreamcast	Dreamcast	Good	Sega	microsd	Optional/beneficial	Flycast; include curated couch titles.
arcade	Arcade	Good-Mixed	Arcade	internal	Varies by set	Keep MAME/FBNeo sets version-aligned.
psx	PlayStation	Excellent	Sony	microsd	Recommended/commonly required	DuckStation; fix multi-disc entries.
ps2	PlayStation 2	Good	Sony	internal	Required	PCSX2; test heavy titles individually.
psp	PSP	Excellent-Good	Handhelds	microsd	Usually not required	PPSSPP; tune upscale per game.
n64	Nintendo 64	Good	Nintendo	microsd	Usually not required	Test controller mapping for C-buttons.
nds	Nintendo DS	Good	Handhelds	microsd	Optional/feature-dependent	Plan screen-layout hotkeys.
3ds	Nintendo 3DS	Mixed	Experimental	internal	Firmware/system files can matter	Keep hidden until curated.
gc	GameCube	Good	Nintendo	internal	Generally not required	Dolphin; test widescreen per game.
wii	Wii	Good	Nintendo	internal	Feature-dependent	Dolphin; validate pointer/motion controls.
primehack	Metroid Prime Trilogy	Good	Nintendo	internal	Same as Wii	Dedicated control profile.
wiiu	Wii U	Mixed	Experimental	internal	User-owned files/updates only	Cemu; test shader/controller behavior.
ps3	PlayStation 3	Mixed-Experimental	Experimental	internal	Official firmware via emulator flow	RPCS3; check compatibility per title.
xbox	Original Xbox	Mixed	Experimental	internal	BIOS/EEPROM/HDD requirements	xemu; advanced collection only.
xbox360	Xbox 360	Experimental	Experimental	internal	Sensitive setup	Do not expose in polished UI by default.
vita	PS Vita	Mixed-Experimental	Experimental	internal	Firmware/package handling	Vita3K; curate confirmed working titles.
ports	Ports	Good	Ports	internal	Depends on engine/game	PortMaster/ScummVM/GZDoom/etc.; owned data where required.
